OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU_1105	Fungi	?	?	?	?	?	?
OTU_1106	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	Ascomycota sp
OTU_1108	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	unidentified	Herpotrichiellaceae sp
OTU_1109	Fungi	Ascomycota	?	?	?	?	?
OTU_1111	Fungi	Ascomycota	Eurotiomycetes	?	?	?	?
OTU_1112	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	?	?	?
OTU_1113	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unidentified	unidentified	Hypocreales sp
OTU_1114	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Nannizziopsis	?
OTU_1115	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unidentified	unidentified	?
OTU_1116	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Incertae sedis	Acremonium	Acremonium antarcticum
OTU_1117	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_1120	Fungi	?	?	?	?	?	?
OTU_1121	Fungi	Basidiomycota	?	?	?	?	?
OTU_1122	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Meyerozyma	Meyerozyma guilliermondii
OTU_1124	Fungi	Basidiomycota	Wallemiomycetes	Geminibasidiales	?	?	?
OTU_1125	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	Ascomycota sp
OTU_1126	Fungi	?	?	?	?	?	?
OTU_1128	Fungi	Basidiomycota	?	?	?	?	?
OTU_1129	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Coniothyrium	Coniothyrium sp HKA14
OTU_1130	Fungi	?	?	?	?	?	?
OTU_1133	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriaceae	Cyphellophora	Cyphellophora fusarioides
OTU_1135	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	?	?
OTU_1136	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_1137	Fungi	Glomeromycota	?	?	?	?	?
OTU_1139	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactifluus	Lactifluus volemoides
OTU_1140	Fungi	Basidiomycota	Agaricomycetes	Boletales	Sclerodermataceae	Scleroderma	Scleroderma dictyosporum
OTU_1141	Fungi	Basidiomycota	?	?	?	?	?
OTU_1142	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella afrostuposa
OTU_1143	Fungi	Chytridiomycota	Chytridiomycetes	?	?	?	?
OTU_1144	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	?	?
OTU_1145	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Incertae sedis	Toxicocladosporium	?
OTU_1147	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_1148	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	?	?
OTU_1149	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Togniniaceae	Phaeoacremonium	Phaeoacremonium fuscum
OTU_1150	Fungi	Glomeromycota	?	?	?	?	?
OTU_1151	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus terreus
OTU_1152	Fungi	Ascomycota	Leotiomycetes	?	?	?	?
OTU_1153	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Auxarthron	?
OTU_1155	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	?
OTU_1156	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	?	?
OTU_1158	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	?	?
OTU_1160	Fungi	?	?	?	?	?	?
OTU_1161	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_1162	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_1163	Fungi	Ascomycota	Sordariomycetes	Sordariales	unidentified	?	?
OTU_1164	Fungi	Basidiomycota	Agaricomycetes	Agaricales	?	?	?
OTU_1167	Fungi	Ascomycota	Dothideomycetes	unidentified	unidentified	unidentified	Dothideomycetes sp
OTU_1168	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium aureum
OTU_1169	Fungi	?	?	?	?	?	?
OTU_1170	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	unidentified	Trichocomaceae sp
OTU_1171	Fungi	Ascomycota	?	?	?	?	?
OTU_1172	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	?	?
OTU_1174	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unidentified	Glomeraceae sp
OTU_1176	Fungi	Ascomycota	?	?	?	?	?
OTU_1177	Fungi	Ascomycota	?	?	?	?	?
OTU_1178	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium sp
OTU_1182	Fungi	Ascomycota	Incertae sedis	?	?	?	?
OTU_1183	Fungi	Ascomycota	?	?	?	?	?
OTU_1185	Fungi	Ascomycota	Orbiliomycetes	?	?	?	?
OTU_1186	Fungi	Zygomycota	?	?	?	?	?
OTU_1187	Fungi	?	?	?	?	?	?
OTU_1189	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	?	?
OTU_1190	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Teratosphaeria	?
OTU_1191	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	?	?
OTU_1192	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_1193	Fungi	Basidiomycota	Agaricomycetes	Agaricales	?	?	?
OTU_1194	Fungi	Ascomycota	?	?	?	?	?
OTU_1195	Fungi	unidentified	unidentified	?	?	?	?
OTU_1196	Fungi	Basidiomycota	?	?	?	?	?
OTU_1197	Fungi	Ascomycota	?	?	?	?	?
OTU_1198	Fungi	Ascomycota	?	?	?	?	?
OTU_1199	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Incertae sedis	Stachybotrys	Stachybotrys sp
OTU_1200	Fungi	Ascomycota	?	?	?	?	?
OTU_1201	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	?
OTU_1202	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria sp
OTU_1203	Fungi	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces	Spizellomyces acuminatus
OTU_1204	Fungi	Ascomycota	?	?	?	?	?
OTU_1205	Fungi	Ascomycota	Dothideomycetes	Pleosporales	?	?	?
OTU_1206	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	Pleosporales sp
OTU_1207	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	unidentified	?
OTU_1208	Fungi	Ascomycota	?	?	?	?	?
OTU_1211	Fungi	Ascomycota	?	?	?	?	?
OTU_1212	Fungi	?	?	?	?	?	?
OTU_1213	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_1214	Fungi	Basidiomycota	Agaricomycetes	Boletales	?	?	?
OTU_1215	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	?
OTU_1218	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	?
OTU_1220	Fungi	Basidiomycota	Incertae sedis	Malasseziales	Incertae sedis	Malassezia	Malassezia sympodialis
OTU_1223	Fungi	Ascomycota	?	?	?	?	?
OTU_1224	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	unidentified	Ceratobasidiaceae sp
OTU_1225	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Incertae sedis	Tremella	Tremella aff globispora IMUFRJ 52033
OTU_1226	Fungi	Incertae sedis	Incertae sedis	Incertae sedis	Incertae sedis	Medicopsis	Medicopsis romeroi
OTU_1227	Fungi	Ascomycota	unidentified	unidentified	unidentified	?	?
OTU_1228	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_1229	Fungi	Ascomycota	Incertae sedis	Incertae sedis	Incertae sedis	Chaetospermum	Chaetospermum camelliae
OTU_1231	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_1234	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_1236	Fungi	?	?	?	?	?	?
OTU_1238	Fungi	Ascomycota	?	?	?	?	?
OTU_1239	Fungi	Glomeromycota	?	?	?	?	?
OTU_1240	Fungi	Ascomycota	?	?	?	?	?
OTU_1241	Fungi	?	?	?	?	?	?
OTU_1243	Fungi	Ascomycota	?	?	?	?	?
OTU_1244	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	unidentified	Russulaceae sp
OTU_1245	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	?
OTU_1246	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium penicillioides
OTU_1247	Fungi	Ascomycota	?	?	?	?	?
OTU_1248	Fungi	Basidiomycota	Microbotryomycetes	?	?	?	?
OTU_1250	Fungi	Glomeromycota	Glomeromycetes	?	?	?	?
OTU_1251	Fungi	Ascomycota	Eurotiomycetes	?	?	?	?
OTU_1253	Fungi	Basidiomycota	?	?	?	?	?
OTU_1254	Fungi	Ascomycota	?	?	?	?	?
OTU_1255	Fungi	?	?	?	?	?	?
OTU_1256	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe sp
OTU_1257	Fungi	Chytridiomycota	?	?	?	?	?
OTU_1258	Fungi	Ascomycota	?	?	?	?	?
OTU_1259	Fungi	Basidiomycota	Agaricomycetes	?	?	?	?
OTU_1260	Fungi	Ascomycota	?	?	?	?	?
OTU_1261	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula sp
OTU_1262	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_1263	Fungi	Ascomycota	Leotiomycetes	Helotiales	Incertae sedis	Xylogone	Xylogone sp
OTU_1264	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Montagnulaceae	Paraconiothyrium	Paraconiothyrium brasiliense
OTU_1265	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	?	?	?
OTU_1266	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Incertae sedis	?	?
OTU_1267	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	?
OTU_1268	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	?
OTU_1269	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Campylocarpon	Campylocarpon fasciculare
OTU_1270	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Incertae sedis	Rhodosporidium	Rhodosporidium paludigenum
OTU_1271	Fungi	Glomeromycota	Glomeromycetes	?	?	?	?
OTU_1273	Fungi	Ascomycota	Sordariomycetes	Sordariales	unidentified	unidentified	Sordariales sp
OTU_1274	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_1275	Fungi	Ascomycota	?	?	?	?	?
OTU_1276	Fungi	Basidiomycota	?	?	?	?	?
OTU_1277	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe sp
OTU_1278	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Schizoparmaceae	Pilidiella	Pilidiella eucalyptorum
OTU_1281	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	Pseudopestalotiopsis theae
OTU_1282	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Incertae sedis	Rhodotorula	Rhodotorula mucilaginosa
OTU_1284	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Incertae sedis	Myrothecium	Myrothecium sp
OTU_1285	Fungi	Chytridiomycota	Chytridiomycetes	?	?	?	?
OTU_1287	Fungi	Zygomycota	Incertae sedis	Mortierellales	?	?	?
OTU_1288	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	?	?	?
OTU_1289	Fungi	Glomeromycota	Glomeromycetes	?	?	?	?
OTU_1290	Fungi	Ascomycota	?	?	?	?	?
OTU_1291	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	?
OTU_1292	Fungi	Basidiomycota	?	?	?	?	?
OTU_1293	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_1294	Fungi	Ascomycota	?	?	?	?	?
OTU_1295	Fungi	Glomeromycota	?	?	?	?	?
OTU_1298	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_1299	Fungi	?	?	?	?	?	?
OTU_1300	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium pimiteouiense
OTU_1302	Fungi	Ascomycota	?	?	?	?	?
OTU_1303	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_1304	Fungi	Ascomycota	Eurotiomycetes	?	?	?	?
OTU_1305	Fungi	Ascomycota	?	?	?	?	?
OTU_1306	Fungi	Glomeromycota	Glomeromycetes	?	?	?	?
OTU_1307	Fungi	Ascomycota	unidentified	unidentified	?	?	?
OTU_1309	Fungi	Ascomycota	Eurotiomycetes	?	?	?	?
OTU_1311	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	unidentified	?
OTU_1312	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium citrinum
OTU_1313	Fungi	Ascomycota	Archaeorhizomycetes	?	?	?	?
OTU_1314	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus lanosus
OTU_1315	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis	Pyrenochaetopsis sp NRRL 62966
OTU_1316	Fungi	?	?	?	?	?	?
OTU_1317	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	?
OTU_1319	Fungi	Ascomycota	?	?	?	?	?
OTU_1321	Fungi	Glomeromycota	Glomeromycetes	Glomerales	?	?	?
OTU_1322	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_1323	Fungi	Ascomycota	Leotiomycetes	Helotiales	?	?	?
OTU_1325	Fungi	Ascomycota	?	?	?	?	?
OTU_1328	Fungi	?	?	?	?	?	?
OTU_1329	Fungi	Ascomycota	?	?	?	?	?
OTU_1331	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula sp
OTU_1332	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae	Saccharicola	?
OTU_1336	Fungi	Zygomycota	Incertae sedis	Mortierellales	?	?	?
OTU_1337	Fungi	Ascomycota	Eurotiomycetes	?	?	?	?
OTU_1339	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_1340	Fungi	Zygomycota	?	?	?	?	?
OTU_1342	Fungi	?	?	?	?	?	?
OTU_1345	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactifluus	Lactifluus flammans
OTU_1349	Fungi	?	?	?	?	?	?
OTU_1352	Fungi	Ascomycota	Eurotiomycetes	?	?	?	?
OTU_1355	Fungi	Basidiomycota	Agaricomycetes	?	?	?	?
OTU_1356	Fungi	Ascomycota	Sordariomycetes	Sordariales	unidentified	unidentified	?
OTU_1357	Fungi	Basidiomycota	?	?	?	?	?
OTU_1358	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium herquei
OTU_1360	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_1361	Fungi	Glomeromycota	?	?	?	?	?
OTU_1362	Fungi	?	?	?	?	?	?
OTU_1363	Fungi	Ascomycota	Incertae sedis	Incertae sedis	Incertae sedis	Ochroconis	Ochroconis sp
OTU_1365	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	?	?
OTU_1366	Fungi	Ascomycota	Dothideomycetes	Pleosporales	?	?	?
OTU_1367	Fungi	Basidiomycota	Agaricomycetes	?	?	?	?
OTU_1368	Fungi	Ascomycota	Sordariomycetes	Xylariales	?	?	?
OTU_1369	Fungi	Basidiomycota	Agaricomycetes	unidentified	unidentified	?	?
OTU_1370	Fungi	Ascomycota	Sordariomycetes	Sordariales	unidentified	unidentified	?
OTU_1371	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_1372	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	?	?	?
OTU_1373	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	?	?
OTU_1374	Fungi	Basidiomycota	Agaricomycetes	?	?	?	?
OTU_1375	Fungi	Basidiomycota	Agaricomycetes	Russulales	?	?	?
OTU_1376	Fungi	Glomeromycota	?	?	?	?	?
OTU_1377	Fungi	Ascomycota	?	?	?	?	?
OTU_1378	Fungi	Glomeromycota	?	?	?	?	?
OTU_1379	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	unidentified	Xylariaceae sp
OTU_1380	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	unidentified	Ceratobasidiaceae sp
OTU_1381	Fungi	Ascomycota	?	?	?	?	?
OTU_1382	Fungi	Ascomycota	unidentified	unidentified	unidentified	?	?
OTU_1383	Fungi	Ascomycota	?	?	?	?	?
OTU_1386	Fungi	Ascomycota	?	?	?	?	?
OTU_1387	Fungi	Basidiomycota	Agaricomycetes	Boletales	Sclerodermataceae	Scleroderma	?
OTU_1388	Fungi	Ascomycota	?	?	?	?	?
OTU_1389	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Incertae sedis	unidentified	Trichosphaeriales sp
OTU_1390	Fungi	Ascomycota	?	?	?	?	?
OTU_1392	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactifluus	Lactifluus volemoides
OTU_1393	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	unidentified	Trichocomaceae sp
OTU_1395	Fungi	?	?	?	?	?	?
OTU_1396	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Schizoparmaceae	Coniella	?
OTU_1397	Fungi	Ascomycota	Sordariomycetes	Hypocreales	?	?	?
OTU_1398	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Incertae sedis	Myrothecium	Myrothecium sp
OTU_1399	Fungi	Ascomycota	?	?	?	?	?
OTU_1400	Fungi	Ascomycota	?	?	?	?	?
OTU_1401	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe sp
OTU_1403	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Campylocarpon	Campylocarpon pseudofasciculare
OTU_1404	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	unidentified	?
OTU_1405	Fungi	Ascomycota	?	?	?	?	?
OTU_1407	Fungi	?	?	?	?	?	?
OTU_1408	Fungi	Ascomycota	?	?	?	?	?
OTU_1410	Fungi	Ascomycota	?	?	?	?	?
OTU_1411	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	?	?
OTU_1412	Fungi	Chytridiomycota	?	?	?	?	?
OTU_1414	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	?	?
OTU_1415	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_1416	Fungi	Ascomycota	Incertae sedis	?	?	?	?
OTU_1417	Fungi	Ascomycota	?	?	?	?	?
OTU_1419	Fungi	Ascomycota	Orbiliomycetes	?	?	?	?
OTU_1420	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unidentified	?
OTU_1421	Fungi	Ascomycota	Orbiliomycetes	?	?	?	?
OTU_1423	Fungi	Ascomycota	?	?	?	?	?
OTU_1426	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Pseudofusicoccum	Pseudofusicoccum olivaceum
OTU_1427	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	?	?
OTU_1428	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	unidentified	Chaetomiaceae sp
OTU_1429	Fungi	Ascomycota	?	?	?	?	?
OTU_1430	Fungi	Basidiomycota	?	?	?	?	?
OTU_1431	Fungi	Glomeromycota	Glomeromycetes	?	?	?	?
OTU_1432	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium sp ATT038
OTU_1433	Fungi	Ascomycota	?	?	?	?	?
OTU_1434	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocladiella	Cylindrocladiella variabilis
OTU_1435	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	Ascomycota sp
OTU_1436	Fungi	Basidiomycota	Agaricomycetes	?	?	?	?
OTU_1439	Fungi	Ascomycota	?	?	?	?	?
OTU_1440	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	?	?
OTU_1441	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Phylloporus	Phylloporus sp
OTU_1443	Fungi	Ascomycota	?	?	?	?	?
OTU_1444	Fungi	Ascomycota	?	?	?	?	?
OTU_1445	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	?	?	?
OTU_1446	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	unidentified	Pleosporaceae sp
OTU_1450	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	?	?
OTU_1451	Fungi	Glomeromycota	Glomeromycetes	?	?	?	?
OTU_1452	Fungi	Ascomycota	Dothideomycetes	Pleosporales	?	?	?
OTU_1454	Fungi	?	?	?	?	?	?
OTU_1455	Fungi	?	?	?	?	?	?
OTU_1456	Fungi	Basidiomycota	Agaricomycetes	Russulales	?	?	?
OTU_1457	Fungi	Basidiomycota	?	?	?	?	?
OTU_1458	Fungi	?	?	?	?	?	?
OTU_1459	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_1460	Fungi	?	?	?	?	?	?
OTU_1461	Fungi	Chytridiomycota	?	?	?	?	?
OTU_1462	Fungi	Ascomycota	Eurotiomycetes	?	?	?	?
OTU_1463	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	?
OTU_1465	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Incertae sedis	?	?
OTU_1466	Fungi	Ascomycota	Dothideomycetes	unidentified	?	?	?
OTU_1468	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium bilaiae
OTU_1469	Fungi	Ascomycota	?	?	?	?	?
OTU_1471	Fungi	Ascomycota	?	?	?	?	?
OTU_1472	Fungi	Basidiomycota	Atractiellomycetes	Atractiellales	unidentified	unidentified	Atractiellales sp
OTU_1473	Fungi	Basidiomycota	?	?	?	?	?
OTU_1474	Fungi	?	?	?	?	?	?
OTU_1476	Fungi	?	?	?	?	?	?
OTU_1477	Fungi	Glomeromycota	?	?	?	?	?
OTU_1478	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_1479	Fungi	Ascomycota	unidentified	?	?	?	?
OTU_1480	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Incertae sedis	Rhodosporidium	Rhodosporidium paludigenum
OTU_1481	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Chaetosartorya	Chaetosartorya stromatoides
OTU_1482	Fungi	Ascomycota	Orbiliomycetes	?	?	?	?
OTU_1483	Fungi	?	?	?	?	?	?
OTU_1484	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium citreonigrum
OTU_1486	Fungi	Ascomycota	unidentified	?	?	?	?
OTU_1487	Fungi	Ascomycota	Incertae sedis	Incertae sedis	Incertae sedis	Phaeocytostroma	?
OTU_1488	Fungi	Ascomycota	Eurotiomycetes	?	?	?	?
OTU_1489	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Gymnopilus	Gymnopilus lepidotus
OTU_1490	Fungi	?	?	?	?	?	?
OTU_1491	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_1493	Fungi	Ascomycota	Eurotiomycetes	?	?	?	?
OTU_1494	Fungi	Ascomycota	?	?	?	?	?
OTU_1496	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_1500	Fungi	Basidiomycota	Agaricomycetes	Boletales	Sclerodermataceae	Scleroderma	Scleroderma sp
OTU_1501	Fungi	Basidiomycota	?	?	?	?	?
OTU_1502	Fungi	Basidiomycota	Agaricomycetes	Hysterangiales	unidentified	unidentified	Hysterangiales sp
OTU_1503	Fungi	Ascomycota	?	?	?	?	?
OTU_1505	Fungi	Glomeromycota	?	?	?	?	?
OTU_1506	Fungi	Glomeromycota	?	?	?	?	?
OTU_1507	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria sp
OTU_1508	Fungi	Ascomycota	Leotiomycetes	Helotiales	Incertae sedis	Scytalidium	?
OTU_1510	Fungi	Basidiomycota	?	?	?	?	?
OTU_1512	Fungi	Ascomycota	?	?	?	?	?
OTU_1513	Fungi	Ascomycota	?	?	?	?	?
OTU_1514	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	unidentified	Pleosporaceae sp
OTU_1516	Fungi	?	?	?	?	?	?
OTU_1518	Fungi	Chytridiomycota	?	?	?	?	?
OTU_1520	Fungi	?	?	?	?	?	?
OTU_1521	Fungi	Ascomycota	?	?	?	?	?
OTU_1522	Fungi	Basidiomycota	Agaricomycetes	unidentified	unidentified	unidentified	Agaricomycetes sp
OTU_1525	Fungi	Basidiomycota	?	?	?	?	?
OTU_1526	Fungi	Ascomycota	?	?	?	?	?
OTU_1527	Fungi	Glomeromycota	Glomeromycetes	?	?	?	?
OTU_1529	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Lycoperdon	?
OTU_1530	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Calonectria	?
OTU_1532	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	?
OTU_1533	Fungi	Ascomycota	?	?	?	?	?
OTU_1534	Fungi	?	?	?	?	?	?
OTU_1535	Fungi	Basidiomycota	?	?	?	?	?
OTU_1536	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_1537	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	Ascomycota sp
OTU_1538	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Tubeufiaceae	unidentified	?
OTU_1539	Fungi	?	?	?	?	?	?
OTU_1540	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	?	?	?
OTU_1541	Fungi	Basidiomycota	?	?	?	?	?
OTU_1543	Fungi	Glomeromycota	?	?	?	?	?
OTU_1544	Fungi	Ascomycota	Sordariomycetes	Sordariales	unidentified	unidentified	?
OTU_1545	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_1547	Fungi	Ascomycota	Sordariomycetes	Sordariales	?	?	?
OTU_1548	Fungi	Ascomycota	?	?	?	?	?
OTU_1549	Fungi	?	?	?	?	?	?
OTU_1551	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	?	?	?
OTU_1552	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Bovista	?
OTU_1553	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	?	?
