OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU_4630	Fungi	Basidiomycota	?	?	?	?	?
OTU_4632	Fungi	?	?	?	?	?	?
OTU_4633	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Thielavia	Thielavia sp
OTU_4634	Fungi	Ascomycota	Dothideomycetes	Pleosporales	?	?	?
OTU_4635	Fungi	Basidiomycota	?	?	?	?	?
OTU_4636	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	?	?
OTU_4637	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Volvopluteus	Volvopluteus earlei
OTU_4638	Fungi	?	?	?	?	?	?
OTU_4639	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Setosphaeria	Setosphaeria turcica
OTU_4640	Fungi	Ascomycota	?	?	?	?	?
OTU_4641	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	?	?
OTU_4643	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_4644	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_4645	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_4647	Fungi	Basidiomycota	?	?	?	?	?
OTU_4650	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Podoscypha	Podoscypha petalodes subsp rosulata
OTU_4653	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Incertae sedis	Myrothecium	Myrothecium sp HKB28
OTU_4654	Fungi	Ascomycota	?	?	?	?	?
OTU_4657	Fungi	Glomeromycota	Glomeromycetes	Glomerales	?	?	?
OTU_4658	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_4659	Fungi	?	?	?	?	?	?
OTU_4660	Fungi	?	?	?	?	?	?
OTU_4661	Fungi	Ascomycota	?	?	?	?	?
OTU_4662	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	?	?
OTU_4663	Fungi	Ascomycota	?	?	?	?	?
OTU_4664	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Tubeufiaceae	?	?
OTU_4665	Fungi	Chytridiomycota	?	?	?	?	?
OTU_4666	Fungi	Basidiomycota	Agaricomycetes	Agaricales	unidentified	unidentified	?
OTU_4668	Fungi	Ascomycota	?	?	?	?	?
OTU_4670	Fungi	Ascomycota	?	?	?	?	?
OTU_4671	Fungi	Ascomycota	Dothideomycetes	Pleosporales	?	?	?
OTU_4672	Fungi	Glomeromycota	Glomeromycetes	Glomerales	?	?	?
OTU_4673	Fungi	?	?	?	?	?	?
OTU_4674	Fungi	?	?	?	?	?	?
OTU_4675	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Lentinus	Lentinus squarrosulus
OTU_4680	Fungi	?	?	?	?	?	?
