Species	A1	A10	A11	A12	A2	A3	A4	A5	A6	A7	A8	A9	B1	B10	B11	B12	B2	B3	B4	B5	B6	B7	B8	B9	C1	C10	C11	C12	C2	C3	C4	C5	C6	C7	C8	C9	D1	D10	D11	D12	D2	D3	D4	D5	D6	D7	D8	D9	E1	E10	E11	E12	E2	E3	E4	E5	E6	E7	E8	E9	F1	F10	F11	F12	F2	F3	F4	F5	F6	F7	F8	F9	G1	G10	G11	G12	G2	G3	G4	G5	G6	G7	G8	G9	H1	H10	H11	H12	H2	H3	H4	H5	H6	H7	H8	H9	ITS1f	ITS4	ITS4-IT	ITS4A	gITS7
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Penicillium;Penicillium sp TW_2011	16	0	0	2	6	39	0	1	94	28	68	226	1	1	0	0	0	16	43	2	237	3	233	21	2	1	0	0	3	31	12	1	128	24	1	1508	11	2	0	0	116	21	20	2	117	4	358	0	3	1	53	0	36	0	12	127	1258	165	1	313	10	0	0	1	12	19	21	4	209	62	1	44	8	0	0	0	8	7	2	10	5	491	0	0	14	0	0	0	16	34	0	6	6	93	0	22	0	34	0	3	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Penicillium;Penicillium spinulosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Rasamsonia;Rasamsonia eburnea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	14	0	4	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	1	0	0	0	0	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Rasamsonia;Rasamsonia sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Talaromyces;?	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	1	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Talaromyces;Talaromyces bacillisporus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	5	0	0	0	0	0	0	0	0	5	0	12	0	0	1	0	0	0	0	0	0	31	0	20	76	0	0	0	0	0	0	0	4	47	0	0	0	0	0	3	0	0	0	0	0	0	12	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Talaromyces;Talaromyces flavus	79	0	26	5	94	248	594	6431	181	38	1134	1094	77	13	0	0	352	116	147	1952	1519	375	734	733	174	3	0	3	238	400	599	1696	597	5774	180	761	76	21	1595	1	294	169	2363	3114	1333	599	1871	0	77	1	33	314	1322	2	377	1639	1082	1423	11	1689	1327	0	0	3	549	373	146	60	241	1519	4	1097	198	0	0	0	138	69081	938	7052	1124	5769	98	0	35	14	0	0	213	321	23	464	738	2735	0	453	0	562	0	167	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;unidentified;?	2	0	0	0	5	0	3	11	4	15	4	4	0	0	0	0	250	4	0	3	9	1	6	4	1	0	0	0	0	0	8	0	0	0	57	0	0	0	0	0	1	2	231	0	66	2	50	0	1	0	0	0	8	0	63	5	14	0	0	1	1	0	0	0	4	6	15	3	5	0	0	5	2	0	0	0	34	14	0	4	48	44	0	0	0	0	0	0	1	14	0	2	62	15	0	0	0	5	0	5	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;unidentified;Trichocomaceae sp	23	0	35	1	569	23	3018	1416	1001	551	1047	3709	22	0	0	4	10777	62	1573	3468	561	133	374	464	14	1	0	0	76	138	584	720	455	140	89	745	66	64	117	1	168	42	482	552	3392	64	459	3	438	3	28	73	322	0	334	607	17209	451	19	257	243	0	0	3	117	550	385	727	490	399	5	655	56	0	0	0	63	4324	37	449	1955	6811	7	0	36	18	0	0	70	1878	12	382	2670	537	3	239	0	406	0	93	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;unidentified;unidentified;Eurotiales sp	361	1	4	0	56	371	3540	1236	936	1680	486	5770	10	10	0	1	223	90	3469	5300	2137	400	593	362	94	13	0	23	67	176	2555	887	3147	2773	51	913	59	1	4	4	205	102	1035	2895	13	192	896	1	618	3	34	282	7035	0	326	2032	2737	891	36	88	350	0	0	4	329	677	539	455	480	391	4	600	252	0	1	0	151	151	803	1500	226	1804	2	0	91	16	0	0	1963	7583	54	8720	283	435	2	233	0	398	0	96	0
Fungi;Ascomycota;Eurotiomycetes;Incertae sedis;?;?;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	22	0	0	0	0	0	2	0	0	0	0	0	125	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Fungi;Ascomycota;Eurotiomycetes;Onygenales;?;?;?	23	0	0	0	0	125	24	385	0	6	41	1	4	0	0	0	3	19	13	27	346	70	130	0	2	0	0	0	38	11	32	29	46	40	0	56	53	0	0	0	15	3	1	15	1	0	103	0	4	0	1	1	55	1	11	50	321	112	0	35	136	0	0	0	21	8	26	3	0	26	4	59	8	0	0	0	59	0	4	0	20	78	0	0	0	2	0	0	40	20	41	0	17	280	0	9	0	17	0	5	0
Fungi;Ascomycota;Eurotiomycetes;Onygenales;Ajellomycetaceae;?;?	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Fungi;Ascomycota;Eurotiomycetes;Onygenales;Gymnoascaceae;unidentified;Gymnoascaceae sp	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	49	0	2	0	0	0	0	0	0	3	0	75	9	0	0	0	0	4	0	0	0	0	0	2	107	1	0	0	0	0	0	0	12	0	0	0	6	80	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	8	0	0	0	4	0	5	0	1	0
Fungi;Ascomycota;Eurotiomycetes;Onygenales;Incertae sedis;?;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Auxarthron;?	0	0	0	0	25	7	0	0	0	20	0	7	0	0	0	0	1	2	1	0	51	0	37	2	0	0	0	0	2	0	57	0	7	1	0	9	0	0	0	0	0	2	0	42	1	0	0	0	0	0	0	3	14	0	0	0	171	0	0	0	0	0	0	0	0	0	0	90	124	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	48	30	0	2	0	4	0	3	0
Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Chrysosporium;Chrysosporium lucknowense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Nannizziopsis;?	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	66	0	0	0	0	0	2	4	17	0	0	0	0	0	0	0	0	0	0	0	647	0	0	0	0	0	0	0	0	0	0	0	22	1	9	15	0	0	0	0	0	0	0	1	6	3	0	0	0	0	0	0	0	0	2	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	1	0	0	0
Fungi;Ascomycota;Eurotiomycetes;unidentified;?;?;?	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	1	0	3	0	0	0	0	0
